"source_type";"author";"publication_year";"name";"institution";"web_url"
"Online News Article";"EAFIT University";"2011";"Medellin citizens could án go Encicla";"EAFIT University";"http://www.eafit.edu.co/agencia-noticias/historico-noticias/2011/octubre/Paginas/ciudadanos-medellin-encicla-eafit.aspx"
"Report";"Area Metropolitana del Valle de Aburra";"2012";"Plan de Gestion: Pura Vida";"Area Metropolitana del Valle de Aburra";"http://www.metropol.gov.co/Documents/PLAN%20DE%20GESTION%20Pura%20Vida%202012-2015.pdf"
"Case Study";"Tools of Change";"2013";"BIXI: Montreal's Bike-Sharing System";"Tools of Change: Landmark Case Study";"http://www.toolsofchange.com/userfiles/BIXI%20Case%20Study(1).pdf"
"Online News Article";"CBC News";"2014";"Bixi saved for the summer
The city of Montreal steps in to take over the company’s local assets for almost $12M";"CBC News";"http://www.cbc.ca/news/canada/montreal/bixi-saved-for-the-summer-1.2543958"
"Online News Article";"CBC News";"2014";"City gives Bixi $4.3M for Montreal bike-sharing service's 2014 season";"CBC News";"http://www.cbc.ca/news/canada/montreal/bixi-needs-montrealers-to-show-their-love-denis-coderre-1.2584320"
"Website";"Bixi Montreal";"NA";"Bixi Montreal: Homepage";"Bixi Montreal";"http://montreal.bixi.com/en"
"Online News Article";"Manulife";"2016";"Manulife: BIXI-Montreal's New Presenting Partner";"Manulife";"http://www.manulife.com/Master-Article-Detail?content_id=a0Q5000000JTyRQEA1"
"Website";"PBSC Urban Solutions";"NA";"PBSC Urban Solutions: Homepage";"PBSC Urban Solutions";"https://www.pbsc.com/about/"
"Website";"Capital Bikeshare";"NA";"Capital Bikeshare Press Kit";"Capital Bikeshare";"https://www.capitalbikeshare.com/Press-Kit"
"Website";"Capital Bikeshare";"NA";"Capital Bikeshare Bank on DC";"Capital Bikeshare";"http://www.capitalbikeshare.com/bankondc"
"Report";"Foursquare Integrated Transportation Planning";"2015";"District of Columbia Capital Bikeshare Development Plan";"District Department of Transportation (DDOT)";"http://ddot.dc.gov/sites/default/files/dc/sites/ddot/page_content/attachments/Draft%20DDOT%20Bikeshare%20Development%20FINAL%20reduced.pdf"
"Website";"Capital Bikeshare";"NA";"Capital Bikeshare: Homepage";"Capital Bikeshare";"https://www.capitalbikeshare.com/home"
"Website";"goDCgo";"NA";"Capital Bikeshare";"goDCgo";"http://www.godcgo.com/home/ways-to-get-around/bike/capital-bikeshare.aspx"
"Website";"BikeArlington";"NA";"BikeArlington: Homepage";"BikeArlington";"http://www.bikearlington.com/"
"Website";"Bank on DC";"NA";"Bank on DC: About Us";"Bank on DC";"http://bankondc.org/about-us/"
