"source_type";"author";"publication_year";"name";"institution";"web_url"
"Website";"NA";"2011";"Promoting Energy Efficiency in Buildings in Turkey";"United Nations Development Programme (UNDP)";"http://www.tr.undp.org/content/turkey/en/home/operations/projects/poverty_reduction/promoting_energy_efficiency_in_buildings_in_turkey.html"
"Website";"NA";"2008";"Promote Energy Efficiency in Buildings";"Global Environment Facility (GEF)";"https://www.thegef.org/project/promote-energy-efficiency-buildings"
"Website";"NA";"NA";"UNDP's funding channels";"United Nations Development Programme (UNDP)";"http://www.undp.org/content/undp/en/home/ourwork/funding/funding-channels.html"
"Website";"NA";"NA";"What is Cofinancing?";"Asian Development Bank (ADB)";"https://www.adb.org/site/cofinancing/what-is-cofinancing"
"Report";"NA";"2012";"The Stockholm Environment Programme 2012–2015";"City of Stockholm";"http://international.stockholm.se/globalassets/ovriga-bilder-och-filer/the-stockholm-environment-programme-2012-2015.pdf"
"Blog";"Unknown";"2016";"New biomass-fired district heating CHP plant inaugurated in Värtan, Stockholm";"IDEA Industry News";"http://www.districtenergy.org/blog/2016/05/09/new-biomass-fired-chp-plant-inaugurated-in-vartan-stockholm/"
"Website";"NA";"NA";"Sweden: Financial Instruments";"Global Buildings Performance Network (GBPN)";"http://www.gbpn.org/databases-tools/rp-detail-pages/sweden#Financial Instruments"
"Unknown";"Hans-OK Hjorth";"2008";"Implementation of the EPBD in Sweden: Status and planning – June 2008";"Boverket Sweden";"http://www.epbd-ca.org/Medias/Pdf/country_reports_15_08_2011/Sweden_BuPLa_Country_reports.pdf"
"Website";"NA";"NA";"Energy Efficiency: Buildings";"European Commission";"https://ec.europa.eu/energy/en/topics/energy-efficiency/buildings"
"Unknown";"Unknown";"2011";"Energy Performance of Buildings Directive: Introductory Guide to the recast EPBD-2";"NHBC and Zero Carbon Hub";"http://www.zerocarbonhub.org/sites/default/files/resources/reports/Energy_Performance_of_Buildings_Directive-_Introductory_Guide_to_the_Recast_EPDB-2.pdf"
"Unknown";"NA";"2006";"Energy declarations of buildings";"Sweden: Ministry of Sustainable Development";"http://www.government.se/contentassets/16d3b61d19084c3a96b3993e2edca229/energy-declarations-of-buildings"
"Unknown";"NA";"2009";"An integrated climate and energy policy";"Stockholm: Ministry of the Environment and Ministry of Enterprise, Energy and Communications";"http://www.government.se/contentassets/356adb8355814d75851d87342bdfad44/an-integrated-climate-and-energy-policy"
"Website";"NA";"NA";"Energy Efficiency: Policy Measures and Databases";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/energyefficiency/"
"Website";"NA";"1995";"Building Performance Standards (Building Regulations)";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/sweden/name-22078-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT48c3Bhbj4gJmd0OyZndDsgPC9zcGFuPjxhIGhyZWY9Ii9wb2xpY2llc2FuZG1lYXN1cmVzLyI-UG9saWNpZXMgYW5kIE1lYXN1"
"Case Study";"Unknown";"Unknown";"Local Leaders in Sustainability: Boston";"American Institute of Architects (AIA)";"http://www.aia.org/aiaucmp/groups/aia/documents/document/aiab081623.pdf"
"Report";"NA";"2014";"Greenovate Boston: 2014 Climate Plan Update";"City of Boston";"http://192.241.241.150/wp-content/uploads/2015/02/Boston_CAP_Full_Report.pdf"
"Press Release";"NA";"2010";"Mayor Menino's Solar Permitting Guidelines Approved";"City of Boston";"http://www.cityofboston.gov/news/default.aspx?id=4897"
"Unknown";"NA";"2014";"A Citizen's Guide to Development Review under Article 80 of the Boston Zoning Code";"City of Boston and Boston Redevelopment Authority";"http://www.bostonplans.org/getattachment/610ddaf1-a547-4eb9-bb22-4d0938f354f6"
"Website";"NA";"NA";"Building Energy Reporting and Disclosure Ordinance";"City of Boston";"https://www.cityofboston.gov/eeos/reporting/"
"Case Study";"NA";"2011";"Seattle Sets the Standards for Green Buildings";"C40 Cities";"http://www.c40.org/case_studies/seattle-sets-the-standards-for-green-buildings"
"Unknown";"NA";"2015";"City of Seattle - Promoting Sustainable Development";"City of Seattle";"http://www.seattle.gov/Documents/Departments/OSE/GreenBuildingOverviewMay2015.pdf"
"Unknown";"NA";"2011";"Sustainable Buildings and Sites Policy";"City of Seattle";"http://www.seattle.gov/Documents/Departments/OSE/dpdp021677.pdf"
"Website";"NA";"NA";"Office of Sustainability & Environment: Energy Benchmarking";"City of Seattle";"http://www.seattle.gov/environment/buildings-and-energy/energy-benchmarking-and-reporting"
"Website";"NA";"NA";"Seattle Green Factor";"City of Seattle";"http://www.seattle.gov/dpd/codesrules/changestocode/greenfactor/whatwhy/"
"Website";"NA";"NA";"Seattle Department of Construction & Inspections: Energy Code";"City of Seattle";"http://www.seattle.gov/DPD/codesrules/codes/energy/overview/"
"Website";"NA";"NA";"Seattle Public Utilities: Green Stormwater Infrastructure";"City of Seattle";"http://www.seattle.gov/util/EnvironmentConservation/Projects/GreenStormwaterInfrastructure/index.htm"
"Report";"NA";"2015";"Implementing Energy Efficiency in Buildings: A compendium of experiences from across the world";"United Nations Development Programme (UNDP)";"http://www.undp.org/content/dam/india/docs/ICEEB%202015_Compendium.pdf"
"Website";"NA";"NA";"Energy Efficiency in Buildings: Energy Conservation Building Code (ECBC), India";"USAID";"http://www.eco3.org/ecbc/"
"Website";"NA";"2001";"Energy Conservation Act, 2001";"International Energy Agency (IEA)";"http://www.iea.org/policiesandmeasures/pams/india/name-23679-en.php?s=dHlwZT1lZSZzdGF0dXM9T2s,&return=PG5hdiBpZD0iYnJlYWRjcnVtYiI-PGEgaHJlZj0iLyI-SG9tZTwvYT48c3Bhbj4gJmd0OyZndDsgPC9zcGFuPjxhIGhyZWY9Ii9wb2xpY2llc2FuZG1lYXN1cmVzLyI-UG9saWNpZXMgYW5kIE1lYXN1c"
"Report";"NA";"2007";"National Action Plan on Climate Change";"Government of India";"http://www.moef.nic.in/downloads/home/Pg01-52.pdf"
"Unknown";"NA";"2013";"Gazette Notification";"Ministry of Urban Development (Delhi Division)";"https://dda.org.in/tendernotices_docs/mar15/3.%20Gazette%20Notification%20(A%2082-122)%202013-2015_030315.pdf"
"Report";"NA";"2014";"Master Plan for Delhi 2021";"Delhi Development Authority (DDA)";"http://righttoeducation.in/sites/default/files/master_plan_delhi_2021.pdf"
"Report";"NA";"2015";"Unified Building Bye-Laws for Delhi 2015";"Delhi Development Authority (DDA) and Delhi Urban Art Commission";"http://www.accehq.net/new_pdf/Final%20Draft-Unified%20Building%20Bye%20Laws%20for%20Delhi_12th%20March%202015.pdf"
"Website";"NA";"NA";"Energy Conservation Building Code (ECBC)";"Bureau of Energy Efficiency, Government of India Ministry of Power";"https://beeindia.gov.in/content/ecbc"
"Report";"NA";"Unknown";"3rd Green Building Master Plan";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/GreenMark/others/3rd_Green_Building_Masterplan.pdf"
"Website";"NA";"NA";"Legislation on Environmental Sustainability for Buildings";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/EnvSusLegislation/Environmental_Sustainability_Legislation.html"
"Unknown";"NA";"2012";"Code of Environmental Sustainability of Buildings 3rd Edition";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/EnvSusLegislation/others/Env_Sus_Code2013.pdf"
"Report";"NA";"2015";"Green Mark for Non-Residential Buildings NRB 2015";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/EnvSusLegislation/others/Green_Mark_NRB_2015_Criteria.pdf"
"Blog";"Eugene Tay";"2015";"2015 Guide to Singapore Government Funding and Incentives for the Environment";"Green Future Solutions";"http://www.greenfuture.sg/2015/02/16/2015-guide-to-singapore-government-funding-and-incentives-for-the-environment/"
"Website";"NA";"NA";"SC Fund: Introduction";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/SustainableConstruction/scf_intro.html"
"Website";"NA";"NA";"$5 million Green Mark Incentive Scheme - Design Prototype (GMIS-DP)";"Singapore Building and Construction Authority";"https://www.bca.gov.sg/GreenMark/gmisdp.html"
"Website";"NA";"NA";"Quieter Construction Fund";"National Environment Agency";"http://www.nea.gov.sg/grants-awards/quieter-construction-fund/quieter-construction-fund"
"Website";"NA";"NA";"About the Fund";"National Environment Agency";"http://www.nea.gov.sg/grants-awards/3p-partnership-fund/about-the-fund"
