"name";"lat";"lng";"population";"iso3";"province"
"Maltahöhe";-24.83999673;16.93998897;2329;"NAM";"Hardap"
"Swakopmund";-22.6688631;14.53501949;27269;"NAM";"Erongo"
"Ongwediva";-17.78001422;15.77003454;17343;"NAM";"Oshana"
"Rundu";-17.92000568;19.74994665;43485;"NAM";"Kavango"
"Tsumeb";-19.24002846;17.71001949;13574.5;"NAM";"Oshikoto"
"Lüderitz";-26.64800006;15.15942582;14216;"NAM";"Karas"
"Walvis Bay";-22.95752765;14.50530554;49504.5;"NAM";"Erongo"
"Windhoek";-22.57000608;17.0835461;265464;"NAM";"Khomas"
"Grootfontein";-19.56662352;18.11655798;19149.5;"NAM";"Otjozondjupa"
"Salyan";28.35000004;82.18330255;15000;"NPL";"Rapti"
"Baglung";28.26669606;83.58329762;23296;"NPL";"Dhawalagiri"
"Jumla";29.25000013;82.21670162;9073;"NPL";"Karnali"
"Bhairawa";27.53330409;83.38329953;63367;"NPL";"Lumbini"
"Dandeldhura";29.30000416;80.60000455;19014;"NPL";"Mahakali"
"Dhangarhi";28.69499706;80.5930026;92294;"NPL";"Achham"
"Ramechhap";27.32599808;86.08699853;15000;"NPL";"Janakpur"
"Bhimphedi";27.5509981;85.13000156;15000;"NPL";"Narayani"
"Rajbiraj";26.5332961;86.73329761;33061;"NPL";"Sagarmatha"
"Ilam";26.90800207;87.92600453;17491;"NPL";"Mechi"
"Lalitpur";27.66661745;85.3333337;191208.5;"NPL";"Bhaktapur"
"Hetauda";27.41668439;85.03335201;158554.5;"NPL";"Narayani"
"Nepalganj";28.0503408;81.61666134;64400;"NPL";"Banke"
"Birganj";27.00040489;84.86659216;133238;"NPL";"Narayani"
"Biratnagar";26.48374392;87.28334387;182324;"NPL";"Bhojpur"
"Pokhara";28.26399603;83.97199855;200000;"NPL";"Gorkha"
"Kathmandu";27.71669191;85.31664221;895000;"NPL";"Bhaktapur"
"Assen";53.00000109;6.550002585;62237;"NLD";"Drenthe"
"Arnhem";51.98799603;5.922999562;141674;"NLD";"Gelderland"
"Maastricht";50.85299707;5.677002477;122378;"NLD";"Limburg"
"Zwolle";52.52400009;6.096996529;111805;"NLD";"Overijssel"
"Middelburg";51.50199618;3.609999541;46485;"NLD";"Zeeland"
"s-Hertogenbosch";51.68333714;5.316660485;134520;"NLD";"Noord-Brabant"
"Eindhoven";51.42997316;5.50001542;303836.5;"NLD";"Noord-Brabant"
"Leeuwarden";53.25037884;5.783357298;108601;"NLD";"Friesland"
"Groningen";53.22040651;6.580001179;198941;"NLD";"Groningen"
"Utrecht";52.10034568;5.120038614;478224;"NLD";"Utrecht"
"Haarlem";52.38043194;4.629991006;248773.5;"NLD";"Noord-Holland"
"Rotterdam";51.9199691;4.479974323;801599.5;"NLD";"Zuid-Holland"
"The Hague";52.08003684;4.269961302;953862.5;"NLD";"Zuid-Holland"
"Amsterdam";52.34996869;4.916640176;886318;"NLD";"Noord-Holland"
"Noumea";-22.26252776;166.4442852;89742.5;"NCL";"Sud"
"Greymouth";-42.47274975;171.2087246;9419;"NZL";"West Coast"
"Upper Hutt";-41.13548786;175.0290474;34591;"NZL";"Manawatu-Wanganui"
"Masterton";-40.94392332;175.6456506;16720.5;"NZL";"Manawatu-Wanganui"
"Levin";-40.61236733;175.2772493;18764;"NZL";"Manawatu-Wanganui"
"Waitakere";-36.84959959;174.5500069;83400;"NZL";"Auckland"
"Takapuna";-36.7912569;174.7758329;184815.5;"NZL";"Auckland"
"Whakatane";-37.98291543;176.9999865;20665;"NZL";"Bay of Plenty"
"Ashburton";-43.89790322;171.7300756;8895;"NZL";"Canterbury"
"Kaiapoi";-43.3776249;172.6400459;7169;"NZL";"Canterbury"
"New Plymouth";-39.0641931;174.0805265;46289.5;"NZL";"Taranaki"
"Westport";-41.77443223;171.5666665;1899;"NZL";"West Coast"
"Hokitika";-42.72568188;170.9681006;2139;"NZL";"West Coast"
"Oamaru";-45.09731321;170.9710005;6628;"NZL";"Otago"
"Palmerston North";-40.35269326;175.6072033;66551.5;"NZL";"Manawatu-Wanganui"
"Wanganui";-39.9311686;175.0288407;35866.5;"NZL";"Manawatu-Wanganui"
"Hastings";-39.63821491;176.8367924;39107;"NZL";"Gisborne"
"Gisborne";-38.64478717;178.0152217;30857.5;"NZL";"Gisborne"
"Rotorua";-38.13458576;176.2454073;51497.5;"NZL";"Auckland"
"Taupo";-38.69300128;176.0770455;17480.5;"NZL";"Auckland"
"Tauranga";-37.69642129;176.1536299;84730;"NZL";"Bay of Plenty"
"Timaru";-44.38159463;171.2185823;23306;"NZL";"Canterbury"
"Nelson";-41.29258421;173.2474507;37133;"NZL";"Nelson"
"Whangarei";-35.71995278;174.3100215;53299.5;"NZL";"Northland"
"Queenstown";-45.02997882;168.6625109;5332;"NZL";"Otago"
